,Book Name,Author Name,Publisher,Publish Date,Purchase Info,Page Numbers,Cover Type,Paper Type,Rate,Rating Count,Review Count,Fav Count,To-Read List Count,Price,Discount
237,İnsan Neyle Yaşar?,Lev N. Tolstoy,KAPRA YAYINCILIK,21/12/2020,Bu üründen 8022 adet satın alınmıştır,48.0,Karton Kapak,,5.0,123.0,82.0,2583,112.0,9.9,Kazanacağınız Puan: 14
238,Dad,Selahattin Demirtaş,DİPNOT YAYINLARI,09/03/2023,Bu üründen 3359 adet satın alınmıştır,152.0,Karton Kapak,,5.0,45.0,24.0,464,106.0,62.02,Kazanacağınız Puan: 104
239,Kendi Özünü Bil,"Dr. Kemal Sayar,  

Klinik Psikolog Rabia Yavuz",SAHİ KİTAP,17/01/2023,Bu üründen 2717 adet satın alınmıştır,304.0,Karton Kapak,,5.0,38.0,23.0,2008,113.0,93.6,Kazanacağınız Puan: 156
240,"Madam Bovary (Ciltli, İplik Dikişli)",Gustave Flaubert,KAPRA YAYINCILIK,26/07/2022,Bu üründen 3336 adet satın alınmıştır,389.0,Ciltli,,5.0,60.0,38.0,2985,117.0,29.9,Kazanacağınız Puan: 40
241,Öfke Dansı,Harriet Lerner,VARLIK YAYINLARI,01/06/2019,Bu üründen 16500 adet satın alınmıştır,199.0,Karton Kapak,,5.0,586.0,308.0,5642,466.0,93.6,Kazanacağınız Puan: 62
242,Bağlanma  Aşkı Bulmanın ve Korumanın Yolları,"Amir Levine,  

 Rachel Heller",AGANTA KİTAP,16/06/2023,Bu üründen 5888 adet satın alınmıştır,239.0,Karton Kapak,,5.0,120.0,72.0,4602,223.0,126.0,Kazanacağınız Puan: 104
243,İFA - İnsanın Fabrika Ayarları (Genişletilmiş Yeni Baskı),Sinan Canan,TUTİ KİTAP,10/10/2022,Bu üründen 2753 adet satın alınmıştır,552.0,Karton Kapak,,5.0,32.0,18.0,1405,110.0,243.75,Kazanacağınız Puan: 276
244,İlk Okuma - Vücudunuz,Stephanie Turnbull,TÜBİTAK YAYINLARI,06/02/2008,Bu üründen 6236 adet satın alınmıştır,33.0,Karton Kapak,,5.0,234.0,119.0,1415,83.0,12.75,Kazanacağınız Puan: 20
245,Sokrates’in Savunması,Platon (Eflatun),KAPRA YAYINCILIK,21/12/2020,Bu üründen 7810 adet satın alınmıştır,56.0,Karton Kapak,,5.0,112.0,55.0,3615,146.0,19.04,Kazanacağınız Puan: 14
246,Toplum Sözleşmesi,Jean Jacques Rousseau,KAPRA YAYINCILIK,28/11/2020,Bu üründen 10713 adet satın alınmıştır,144.0,Karton Kapak,,5.0,187.0,89.0,3503,300.0,9.9,Kazanacağınız Puan: 14
247,İnsanlığın Dirilişi,Sezai Karakoç,DİRİLİŞ YAYINLARI,01/05/2011,Bu üründen 26678 adet satın alınmıştır,160.0,Karton Kapak,,5.0,1156.0,385.0,6980,790.0,42.1,Kazanacağınız Puan: 56
248,Yabancı: Elyel (Yabancı Serisi 3. Kitap) (Karton Kapak),Öznur Yıldırım,PEGASUS YAYINLARI,18/07/2023,Bu üründen 2556 adet satın alınmıştır,816.0,Karton Kapak,,4.0,13.0,6.0,626,113.0,275.0,Kazanacağınız Puan: 650
249,Rahatlama Kitabı  Suyun Üstünde Kalmamı Sağlayan Düşünceler,Matt Haig,DOMİNGO YAYINEVİ,29/07/2022,Bu üründen 4001 adet satın alınmıştır,272.0,Karton Kapak,,5.0,61.0,23.0,3886,207.0,84.48,Kazanacağınız Puan: 64
250,Büyük Atatürk'ten Küçük Öyküler 1,Süleyman Bulut,CAN ÇOCUK YAYINLARI,18/01/2022,Bu üründen 20765 adet satın alınmıştır,148.0,Karton Kapak,,5.0,504.0,193.0,1977,179.0,55.3,Kazanacağınız Puan: 54
251,Beden Kayıt Tutar,Bessel A. van der Kolk,NOBEL YAŞAM,14/06/2023,Bu üründen 14080 adet satın alınmıştır,464.0,Karton Kapak,,5.0,315.0,146.0,8360,496.0,108.0,Kazanacağınız Puan: 128
252,"Pal Sokağı Çocukları (Ciltli, İplik Dikişli)",Ferenc Molnar,KAPRA YAYINCILIK,12/01/2023,Bu üründen 2852 adet satın alınmıştır,200.0,Ciltli,,5.0,41.0,25.0,1847,94.0,29.9,Kazanacağınız Puan: 44
253,Melodi,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,22/09/2023,Bu üründen 8128 adet satın alınmıştır,64.0,Karton Kapak,,5.0,267.0,138.0,1230,107.0,42.3,Kazanacağınız Puan: 42
254,Göğü Yere İndirelim,Özgür Balpınar,TİMAŞ GENÇ,14/10/2019,Bu üründen 14280 adet satın alınmıştır,152.0,Karton Kapak,,5.0,387.0,152.0,2116,214.0,61.3,Kazanacağınız Puan: 62
255,Kızıl Veba,Jack London,KAPRA YAYINCILIK,10/04/2021,Bu üründen 4883 adet satın alınmıştır,64.0,Karton Kapak,,5.0,101.0,52.0,2674,154.0,14.9,Kazanacağınız Puan: 14
256,Gençlere Tavsiyeler (Eyyühe’l-Veled  Kavaidü’l-Aşar),İmam Gazali,ÇELİK YAYINEVİ,31/08/2022,Bu üründen 2729 adet satın alınmıştır,68.0,Karton Kapak,,5.0,33.0,21.0,2482,102.0,35.74,Kazanacağınız Puan: 36
257,Ayı Olmayan Ayı,Frank Tashlin,REDHOUSE KIDZ YAYINLARI,25/09/2017,Bu üründen 9377 adet satın alınmıştır,64.0,Karton Kapak,,5.0,256.0,134.0,1197,81.0,35.85,Kazanacağınız Puan: 38
258,Ara ve Bul Resimli Bulmacalar - Denizde,Gareth Lucas,TÜBİTAK YAYINLARI,24/06/2022,Bu üründen 3813 adet satın alınmıştır,32.0,Karton Kapak,,5.0,72.0,38.0,758,45.0,13.1,Kazanacağınız Puan: 26
259,Fareler ve İnsanlar,John Steinbeck,İLETİŞİM YAYINLARI,10/08/2023,Bu üründen 2610 adet satın alınmıştır,116.0,Karton Kapak,,5.0,46.0,20.0,1400,59.0,60.13,Kazanacağınız Puan: 90
260,Çocuk Kalbi,Edmondo De Amicis,KAPRA YAYINCILIK,28/11/2020,Bu üründen 10796 adet satın alınmıştır,296.0,Karton Kapak,,5.0,189.0,86.0,2682,228.0,19.04,Kazanacağınız Puan: 20
261,Veba Geceleri,Orhan Pamuk,YAPI KREDİ YAYINLARI,22/03/2021,Bu üründen 25120 adet satın alınmıştır,544.0,Karton Kapak,,4.0,716.0,386.0,9877,,88.13,Kazanacağınız Puan: 46
262,Pekicik,Şermin Yaşar,DOĞAN ÇOCUK,23/11/2021,Bu üründen 7787 adet satın alınmıştır,52.0,Karton Kapak,,5.0,117.0,61.0,2214,146.0,66.95,Kazanacağınız Puan: 46
263,İnsan Nedir? (Cep Boy) (Tam Metin),Mark Twain,KARBON KİTAPLAR,19/07/2019,Bu üründen 15469 adet satın alınmıştır,137.0,Karton Kapak,,5.0,425.0,196.0,2862,324.0,8.9,Kazanacağınız Puan: 8
264,Dönüşüm,Franz Kafka,KAPRA YAYINCILIK,21/12/2020,Bu üründen 7121 adet satın alınmıştır,64.0,Karton Kapak,,5.0,117.0,69.0,2213,115.0,14.9,Kazanacağınız Puan: 14
265,Kısa Osmanlı Tarihi,Prof. Dr. Halil İnalcık,KRONİK KİTAP,04/08/2022,Bu üründen 3960 adet satın alınmıştır,256.0,Karton Kapak,,5.0,70.0,23.0,4146,194.0,74.51,Kazanacağınız Puan: 80
266,Yakın Tarihin Gerçekleri,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,23/03/2021,Bu üründen 10747 adet satın alınmıştır,352.0,Karton Kapak,,5.0,267.0,141.0,7544,665.0,86.39,Kazanacağınız Puan: 90
267,Hıhıcık,Şermin Yaşar,DOĞAN ÇOCUK,23/11/2021,Bu üründen 7757 adet satın alınmıştır,40.0,Karton Kapak,,5.0,105.0,57.0,2221,134.0,61.78,Kazanacağınız Puan: 46
268,Dorian Gray'in Portresi,Oscar Wilde,KAPRA YAYINCILIK,28/11/2020,Bu üründen 7971 adet satın alınmıştır,264.0,Karton Kapak,,5.0,169.0,86.0,2665,233.0,14.9,Kazanacağınız Puan: 20
269,Dansa Davet,Jean Teule,SEL YAYINCILIK,01/12/2022,Bu üründen 3589 adet satın alınmıştır,104.0,Karton Kapak,,4.0,113.0,65.0,3971,191.0,52.8,Kazanacağınız Puan: 60
270,Mira Stres Kulübesinden Ayrılıyor / Duygu Günlüğüm,Oya Doğan,TİMAŞ ÇOCUK YAYINLARI,23/09/2023,Bu üründen 2711 adet satın alınmıştır,48.0,Karton Kapak,,5.0,20.0,13.0,561,33.0,42.1,Kazanacağınız Puan: 72
271,Ene  Sus Ey Nefsim!,Fatih Duman,NESİL YAYINLARI,02/08/2022,Bu üründen 17496 adet satın alınmıştır,256.0,Karton Kapak,,5.0,1157.0,694.0,4211,423.0,90.6,Kazanacağınız Puan: 92
272,Esir Şehrin İnsanları,Kemal Tahir,KETEBE YAYINEVİ,08/12/2022,Bu üründen 2456 adet satın alınmıştır,448.0,Karton Kapak,,5.0,59.0,22.0,1686,102.0,54.2,Kazanacağınız Puan: 114
273,Dil Belası - Dilin Afetleri,İmam Gazali,ÇELİK YAYINEVİ,24/11/2016,Bu üründen 6080 adet satın alınmıştır,248.0,Karton Kapak,,5.0,214.0,123.0,3451,189.0,70.9,Kazanacağınız Puan: 48
274,Yuan Huan’ın Kulübesi,Miyase Sertbarut,TUDEM YAYINEVİ,19/09/2019,Bu üründen 6884 adet satın alınmıştır,136.0,Karton Kapak,,5.0,92.0,49.0,999,73.0,62.3,Kazanacağınız Puan: 38
275,Ya Adalet Ya Sefalet  Daha Yaşanır Bir Türkiye İçin 7 Mesele 7 Reçete,Prof. Dr.  Selçuk Şirin,DOĞAN KİTAP,18/01/2023,Bu üründen 2494 adet satın alınmıştır,240.0,Karton Kapak,,5.0,54.0,29.0,1090,114.0,79.85,Kazanacağınız Puan: 154
276,Kaptan Mavi Kanca / Saklı Dünya Hikayeleri 2,Tuğba Coşkuner,CEZVE ÇOCUK,05/10/2022,Bu üründen 4916 adet satın alınmıştır,48.0,Karton Kapak,,5.0,74.0,38.0,1088,80.0,48.86,Kazanacağınız Puan: 56
277,Tuttum Ben Bu Orucu,Hatice Kübra Tongar,HAYY KİTAP,31/03/2023,Bu üründen 2695 adet satın alınmıştır,144.0,Karton Kapak,,5.0,46.0,39.0,680,58.0,66.0,Kazanacağınız Puan: 106
278,"Sağlıklı, Ahlaklı ve Mutlu Kız Çocuğu Yetiştirmek",Hatice Kübra Tongar,AİLE YAYINLARI,11/10/2023,Bu üründen 2478 adet satın alınmıştır,160.0,Karton Kapak,,5.0,14.0,9.0,586,61.0,84.1,Kazanacağınız Puan: 170
279,Savaşçı,Doğan Cüceloğlu,REMZİ KİTABEVİ,04/12/2019,Bu üründen 22254 adet satın alınmıştır,400.0,Karton Kapak,,5.0,847.0,475.0,10390,702.0,131.3,Kazanacağınız Puan: 112
280,Suç ve Ceza (2 Cilt),Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,16/04/2021,Bu üründen 7187 adet satın alınmıştır,636.0,Karton Kapak,,5.0,101.0,61.0,2442,212.0,44.4,Kazanacağınız Puan: 40
281,Çankaya,Falih Rıfkı Atay,POZİTİF YAYINLARI,06/09/2023,Bu üründen 16310 adet satın alınmıştır,592.0,Karton Kapak,,5.0,1037.0,555.0,8664,838.0,135.85,Kazanacağınız Puan: 100
282,Doğu Batı Arasında İslam,Aliya İzzetbegoviç,KETEBE YAYINEVİ,04/11/2019,Bu üründen 13956 adet satın alınmıştır,400.0,Karton Kapak,,5.0,478.0,221.0,5593,615.0,98.34,Kazanacağınız Puan: 78
283,Dahacık,Şermin Yaşar,DOĞAN ÇOCUK,23/11/2021,Bu üründen 7631 adet satın alınmıştır,40.0,Karton Kapak,,5.0,117.0,60.0,2062,131.0,66.95,Kazanacağınız Puan: 46
284,Çetin Ceviz ve Gözlüklü Çocuk,Sinan Yaşar,FOM KİTAP,26/10/2020,Bu üründen 10350 adet satın alınmıştır,96.0,Karton Kapak,,5.0,188.0,105.0,1435,114.0,48.2,Kazanacağınız Puan: 48
285,Yollar Dönüşe Gider,Prof. Dr. Nurullah Genç,TİMAŞ YAYINLARI,09/01/2023,Bu üründen 3596 adet satın alınmıştır,384.0,Karton Kapak,,5.0,109.0,78.0,2095,214.0,125.4,Kazanacağınız Puan: 136
286,İlk Okuma - Güneş Ay ve Yıldızlar,Stephanie Turnbull,TÜBİTAK YAYINLARI,01/11/2013,Bu üründen 5449 adet satın alınmıştır,33.0,Karton Kapak,,5.0,181.0,82.0,1229,56.0,11.25,Kazanacağınız Puan: 16
287,Anne Beni İyileştir,M. Barış Muslu,DOĞAN KİTAP,18/06/2022,Bu üründen 7837 adet satın alınmıştır,224.0,Karton Kapak,,5.0,68.0,46.0,2021,205.0,78.1,Kazanacağınız Puan: 86
288,Çubuk Makarna Düğümü / Abur Cubur Peşinde,Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI,05/08/2019,Bu üründen 5105 adet satın alınmıştır,80.0,Karton Kapak,,5.0,68.0,33.0,571,44.0,42.35,Kazanacağınız Puan: 46
289,Hayta,Anıl Basılı,TİMAŞ İLK GENÇ,08/08/2023,Bu üründen 2647 adet satın alınmıştır,128.0,Karton Kapak,,5.0,26.0,16.0,558,57.0,45.4,Kazanacağınız Puan: 92
290,Beyaz Diş,Jack London,KAPRA YAYINCILIK,28/11/2020,Bu üründen 9041 adet satın alınmıştır,224.0,Karton Kapak,,5.0,151.0,75.0,2280,171.0,19.04,Kazanacağınız Puan: 20
291,Kendini Aldatan İnsan,İmam Gazali,KETEBE YAYINEVİ,03/11/2022,Bu üründen 2762 adet satın alınmıştır,80.0,Karton Kapak,,5.0,66.0,28.0,2085,116.0,52.91,Kazanacağınız Puan: 68
292,Filozof Meşe,Anooshirvan  Miandji,BİLGİ ÇOCUK KİTAPLARI,28/08/2018,Bu üründen 5095 adet satın alınmıştır,64.0,Karton Kapak,,5.0,97.0,50.0,397,16.0,50.0,Kazanacağınız Puan: 16
293,Dervişin Teselli Koleksiyonu 3 / Kadim Terapi,Mecit Ömür Öztürk,HAYY KİTAP,18/09/2023,Bu üründen 2601 adet satın alınmıştır,324.0,Karton Kapak,,5.0,41.0,26.0,2037,204.0,104.0,Kazanacağınız Puan: 200
294,İyi Aile Yoktur,Nihan Kaya,İTHAKİ YAYINLARI,02/03/2021,Bu üründen 23473 adet satın alınmıştır,296.0,Karton Kapak,,4.0,737.0,405.0,8784,661.0,105.1,Kazanacağınız Puan: 74
295,Suda Kaybolmak,Vladimir Tumanov,GÜNIŞIĞI KİTAPLIĞI,27/09/2021,Bu üründen 5232 adet satın alınmıştır,240.0,Karton Kapak,,5.0,87.0,42.0,763,97.0,84.6,Kazanacağınız Puan: 66
296,Kur'an'ın Kalbine Yolculuk  Yasin Suresi Tefsiri,Yasin Pişgin,TİMAŞ YAYINLARI,17/02/2022,Bu üründen 7839 adet satın alınmıştır,336.0,Karton Kapak,,5.0,251.0,143.0,4171,322.0,118.8,Kazanacağınız Puan: 46
297,Yeni Arkadaşım Mo,Lara Williamson,TİMAŞ ÇOCUK YAYINLARI,11/01/2023,Bu üründen 2539 adet satın alınmıştır,96.0,Karton Kapak,,5.0,17.0,12.0,610,29.0,62.5,Kazanacağınız Puan: 64
298,Müslümanca Düşünme Üzerine Denemeler,Rasim Özdenören,İZ YAYINCILIK,20/09/2023,Bu üründen 31456 adet satın alınmıştır,148.0,Karton Kapak,,5.0,1962.0,840.0,8998,,79.8,Kazanacağınız Puan: 52
299,Problemsiz Matematik,Ebru Arık,EĞLENCELİ BİLGİ,06/06/2023,Bu üründen 2344 adet satın alınmıştır,144.0,Karton Kapak,,5.0,13.0,9.0,538,26.0,59.85,Kazanacağınız Puan: 78
300,Saç Örgüsü,Laetitia Colombani,YAN PASAJ,15/09/2023,Bu üründen 3714 adet satın alınmıştır,188.0,Karton Kapak,,5.0,103.0,66.0,3047,163.0,82.8,Kazanacağınız Puan: 70
301,Cingo (Karton Kapak),Şermin Yaşar,DOĞAN EGMONT ÇOCUK KİTAPLARI,07/06/2021,Bu üründen 5388 adet satın alınmıştır,188.0,Karton Kapak,,5.0,73.0,51.0,1360,96.0,108.48,Kazanacağınız Puan: 102
302,Kalk Yerine Yat,Şermin Yaşar,DOĞAN KİTAP,25/11/2021,Bu üründen 10887 adet satın alınmıştır,168.0,Karton Kapak,,5.0,283.0,188.0,4739,529.0,67.43,Kazanacağınız Puan: 88
303,Öğrenci Kız,Osamu Dazai,İTHAKİ YAYINLARI,17/08/2023,Bu üründen 3323 adet satın alınmıştır,64.0,Karton Kapak,,5.0,93.0,48.0,3014,138.0,28.8,Kazanacağınız Puan: 22
304,Namazın Sırları ve Fazileti,İmam Gazali,ÇELİK YAYINEVİ,02/06/2020,Bu üründen 4058 adet satın alınmıştır,344.0,Karton Kapak,,5.0,119.0,53.0,3562,149.0,104.0,Kazanacağınız Puan: 88
305,Dost Kazanma ve İnsanları Etkileme Sanatı,Dale Carnegie,EPSİLON YAYINEVİ,16/06/2017,Bu üründen 10682 adet satın alınmıştır,304.0,Karton Kapak,,5.0,353.0,219.0,7143,411.0,106.39,Kazanacağınız Puan: 108
306,İçimizdeki Şeytan (Cep Boy) (Tam Metin),Sabahattin Ali,KARBON KİTAPLAR,14/05/2019,Bu üründen 17410 adet satın alınmıştır,352.0,Karton Kapak,,5.0,578.0,260.0,3125,341.0,8.9,Kazanacağınız Puan: 8
307,"İnsancıklar (Ciltli, İplik Dikişli)",Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,26/07/2022,Bu üründen 2769 adet satın alınmıştır,176.0,Ciltli,,5.0,39.0,24.0,2161,98.0,29.9,Kazanacağınız Puan: 40
308,Bu Matematik Tam Senlik,Katie Daynes,TÜBİTAK YAYINLARI,13/12/2022,Bu üründen 2348 adet satın alınmıştır,80.0,Karton Kapak,,5.0,50.0,32.0,777,57.0,29.3,Kazanacağınız Puan: 80
309,Gurur ve Önyargı,Jane Austen,KAPRA YAYINCILIK,23/06/2021,Bu üründen 5222 adet satın alınmıştır,368.0,Karton Kapak,,5.0,67.0,40.0,2033,108.0,14.87,Kazanacağınız Puan: 20
310,Mermer Adam,Jean Christophe Grange,DOĞAN KİTAP,17/08/2022,Bu üründen 5471 adet satın alınmıştır,608.0,Karton Kapak,,5.0,137.0,83.0,2749,323.0,168.35,Kazanacağınız Puan: 200
311,Allah’ım Ben Geldim,Hatice Kübra Tongar,HAYY KİTAP,03/03/2020,Bu üründen 51159 adet satın alınmıştır,144.0,Karton Kapak,,4.0,1231.0,552.0,6204,623.0,60.0,Kazanacağınız Puan: 52
312,Hizmetçi,Freida Mcfadden,OLİMPOS YAYINLARI,18/04/2023,Bu üründen 2293 adet satın alınmıştır,352.0,Karton Kapak,,5.0,77.0,50.0,1508,124.0,81.45,Kazanacağınız Puan: 122
313,Kapak Kızı,Ayfer Tunç,CAN YAYINLARI,27/09/2021,Bu üründen 12382 adet satın alınmıştır,264.0,Karton Kapak,,5.0,492.0,276.0,5728,378.0,99.0,Kazanacağınız Puan: 68
314,Hz. Ömer (R.A.),Mehmet  Yıldız,TİMAŞ YAYINLARI,29/11/2022,Bu üründen 5620 adet satın alınmıştır,112.0,Karton Kapak,,5.0,25.0,21.0,1014,63.0,56.25,Kazanacağınız Puan: 64
315,Büyükbabamın Kocaman Denizi,Sylvia Bishop,TİMAŞ ÇOCUK YAYINLARI,08/08/2023,Bu üründen 2608 adet satın alınmıştır,96.0,Karton Kapak,,5.0,34.0,18.0,705,29.0,59.4,Kazanacağınız Puan: 58
316,Babil’in En Zengin Adamı,George S. Clason,BUTİK YAYINCILIK,01/10/2018,Bu üründen 7273 adet satın alınmıştır,152.0,Karton Kapak,,5.0,166.0,103.0,3985,234.0,144.0,Kazanacağınız Puan: 88
317,İlk Okuma - Mevsimler,Emily Bone,TÜBİTAK YAYINLARI,01/07/2022,Bu üründen 3017 adet satın alınmıştır,32.0,Karton Kapak,,5.0,51.0,18.0,622,42.0,11.05,Kazanacağınız Puan: 20
318,İnsanlar Arasındaki Eşitsizliğin Kaynağı,Jean Jacques Rousseau,KAPRA YAYINCILIK,16/12/2021,Bu üründen 3287 adet satın alınmıştır,139.0,Karton Kapak,,5.0,46.0,24.0,1457,78.0,9.9,Kazanacağınız Puan: 14
319,Körlük,Jose Saramago,KIRMIZI KEDİ YAYINEVİ,05/05/2023,Bu üründen 2382 adet satın alınmıştır,320.0,Karton Kapak,,5.0,29.0,18.0,2162,72.0,114.9,Kazanacağınız Puan: 210
320,Korku Koleksiyoncusu / Saklı Dünya Hikayeleri 3,Tuğba Coşkuner,CEZVE ÇOCUK,06/03/2023,Bu üründen 2602 adet satın alınmıştır,64.0,Karton Kapak,,5.0,41.0,16.0,718,65.0,54.12,Kazanacağınız Puan: 82
321,"Çocuk Kalbi (Ciltli, İplik Dikişli)",Edmondo De Amicis,KAPRA YAYINCILIK,26/07/2022,Bu üründen 2905 adet satın alınmıştır,296.0,Ciltli,,5.0,50.0,35.0,2006,82.0,29.9,Kazanacağınız Puan: 40
322,Satranç,Stefan Zweig,KAPRA YAYINCILIK,21/12/2020,Bu üründen 5753 adet satın alınmıştır,64.0,Karton Kapak,,5.0,71.0,38.0,1682,104.0,14.9,Kazanacağınız Puan: 14
323,Harry Potter ve Sırlar Odası,J. K. Rowling,YAPI KREDİ YAYINLARI,29/08/2019,Bu üründen 38638 adet satın alınmıştır,314.0,Karton Kapak,,5.0,2712.0,1097.0,8739,,102.55,Kazanacağınız Puan: 66
324,Beş Sevgi Dili- Sevdiğiniz İnsana Yürekten Bağlılığınızı Nasıl İfade Edersiniz,Gary Chapman,KORİDOR YAYINCILIK,01/01/2012,Bu üründen 23424 adet satın alınmıştır,226.0,Karton Kapak,,5.0,1079.0,682.0,8268,505.0,77.6,Kazanacağınız Puan: 70
325,Dinlemeye Değer,"Aleix Cabrera,  

 Vinyet Montaner",TÜBİTAK YAYINLARI,01/01/2016,Bu üründen 3943 adet satın alınmıştır,37.0,Karton Kapak,,5.0,102.0,48.0,639,56.0,7.5,Kazanacağınız Puan: 14
326,Dinozorlar / İlk Okuma,Stephanie Turnbull,TÜBİTAK YAYINLARI,09/08/2017,Bu üründen 4562 adet satın alınmıştır,30.0,Karton Kapak,,5.0,175.0,87.0,891,65.0,11.25,Kazanacağınız Puan: 22
327,Balonlu Sakız Ağacı / Abur Cubur Peşinde,Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI,21/08/2023,Bu üründen 5475 adet satın alınmıştır,92.0,Karton Kapak,,5.0,93.0,36.0,637,53.0,38.2,Kazanacağınız Puan: 48
328,Tek Yalnız Ben Değilim,Jean-Louis Fournier,YAPI KREDİ YAYINLARI,01/08/2023,Bu üründen 3962 adet satın alınmıştır,152.0,Karton Kapak,,5.0,130.0,65.0,3465,192.0,38.5,Kazanacağınız Puan: 46
329,"Kırk Kere Söyledim  Ben Ne Söyledim, Çocuğum Ne Anladı?",Prof. Dr. Ziya Selçuk,KRONİK KİTAP,22/03/2022,Bu üründen 8353 adet satın alınmıştır,232.0,Karton Kapak,,5.0,207.0,125.0,2768,388.0,82.5,Kazanacağınız Puan: 60
330,Ara ve Bul Resimli Bulmacalar - Hayvanat Bahçesinde,Gareth Lucas,TÜBİTAK YAYINLARI,24/06/2022,Bu üründen 3326 adet satın alınmıştır,32.0,Karton Kapak,,5.0,72.0,37.0,711,43.0,13.25,Kazanacağınız Puan: 26
331,Kaçırdıklarımız  Yaşanmamış Hayata Övgü,Adam Phillips,METİS YAYINLARI,27/07/2023,Bu üründen 5670 adet satın alınmıştır,168.0,Karton Kapak,,4.0,199.0,80.0,4602,240.0,73.54,Kazanacağınız Puan: 70
332,Küçük Toplayıcının Büyük Macerası,Sinan Yaşar,TUDEM YAYINEVİ,10/05/2022,Bu üründen 3692 adet satın alınmıştır,88.0,Karton Kapak,,5.0,34.0,20.0,673,29.0,61.2,Kazanacağınız Puan: 48
333,Uğultulu Tepeler,Emily Bronte,CAN YAYINLARI,25/09/2019,Bu üründen 30571 adet satın alınmıştır,408.0,Karton Kapak,,5.0,1536.0,779.0,17701,,62.7,Kazanacağınız Puan: 46
334,Halka Çörek Zinciri / Abur Cubur Peşinde,Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI,20/07/2020,Bu üründen 4329 adet satın alınmıştır,68.0,Karton Kapak,,5.0,56.0,22.0,484,36.0,42.25,Kazanacağınız Puan: 46
335,Malamander,Thomas Taylor,TİMAŞ GENÇ,05/08/2021,Bu üründen 7685 adet satın alınmıştır,320.0,Karton Kapak,,5.0,187.0,100.0,2278,255.0,100.8,Kazanacağınız Puan: 98
336,Çöplük,Andy Mulligan,TUDEM YAYINEVİ,01/01/2015,Bu üründen 15534 adet satın alınmıştır,216.0,Karton Kapak,,5.0,444.0,192.0,2798,311.0,85.68,Kazanacağınız Puan: 68
337,Palyatif Toplum  Günümüzde Acı,Byung-Chul Han,METİS YAYINLARI,05/07/2022,Bu üründen 3429 adet satın alınmıştır,80.0,Karton Kapak,,5.0,71.0,25.0,2345,132.0,51.1,Kazanacağınız Puan: 52
338,Cennetle Müjdeli 10 Sahabe,Mehmet  Yıldız,TİMAŞ YAYINLARI,15/11/2022,Bu üründen 2553 adet satın alınmıştır,768.0,Karton Kapak,,5.0,24.0,14.0,1573,130.0,419.1,Kazanacağınız Puan: 494
339,Yoksulluk İçimizde,Mustafa Kutlu,DERGAH YAYINLARI,01/01/2016,Bu üründen 25139 adet satın alınmıştır,104.0,Karton Kapak,,5.0,1630.0,740.0,6435,721.0,62.85,Kazanacağınız Puan: 50
340,Gazap Üzümleri,John Steinbeck,İLETİŞİM YAYINLARI,28/12/2021,Bu üründen 5983 adet satın alınmıştır,540.0,Karton Kapak,,5.0,166.0,84.0,7946,428.0,133.62,Kazanacağınız Puan: 150
341,İknanın Psikolojisi,Robert B. Cialdini,MEDİACAT KİTAPLARI,24/08/2023,Bu üründen 19273 adet satın alınmıştır,662.0,Karton Kapak,,5.0,633.0,330.0,9014,710.0,160.08,Kazanacağınız Puan: 106
342,Savaş Sanatı,Sun Tzu,KAPRA YAYINCILIK,21/12/2020,Bu üründen 5197 adet satın alınmıştır,64.0,Karton Kapak,,5.0,88.0,47.0,1758,118.0,14.9,Kazanacağınız Puan: 14
343,Kozmos Evrenin ve Yaşamın Sırları,Carl Sagan,ALTIN KİTAPLAR,15/08/2023,Bu üründen 12752 adet satın alınmıştır,384.0,Karton Kapak,,5.0,712.0,339.0,9211,871.0,109.29,Kazanacağınız Puan: 110
344,Kendine Ait Bir Oda,Virginia Woolf,KAPRA YAYINCILIK,28/11/2020,Bu üründen 7554 adet satın alınmıştır,120.0,Karton Kapak,,5.0,172.0,77.0,3453,261.0,9.9,Kazanacağınız Puan: 14
345,Yaban Bütün Eserleri 1,Yakup Kadri Karaosmanoğlu,İLETİŞİM YAYINLARI,04/10/2019,Bu üründen 32058 adet satın alınmıştır,215.0,Karton Kapak,,5.0,2024.0,1139.0,11603,,76.27,Kazanacağınız Puan: 76
346,Seneler,Annie Ernaux,CAN YAYINLARI,02/01/2021,Bu üründen 4055 adet satın alınmıştır,232.0,Karton Kapak,,5.0,107.0,40.0,2520,154.0,87.75,Kazanacağınız Puan: 80
347,30 Günde 10 Yıl,Prof. Dr. Yavuz Yörükoğlu,HAYY KİTAP,10/06/2022,Bu üründen 20175 adet satın alınmıştır,176.0,Karton Kapak,,5.0,425.0,237.0,3896,460.0,65.0,Kazanacağınız Puan: 48
348,Sana Gül Bahçesi Vadetmedim,Joanne Greenberg,METİS YAYINLARI,04/05/2023,Bu üründen 14216 adet satın alınmıştır,296.0,Karton Kapak,,4.0,945.0,523.0,12523,799.0,116.45,Kazanacağınız Puan: 114
